koc_id,high_or_low,cat,cluster_kmeans,cluster_label,follower_count_log1p,anxiety_score,view_log1p,collect_like_ratio,ces_total_log1p,video_cpe_calc_log1p,note_quote_log1p
106946230,high,study,1,均衡全能型博主,10.477316144080852,1.7,10.361114910713809,0.5001303813124841,8.14772244353145,1.2378113944195785,8.85366542803745
107199492,high,study,0,均衡全能型博主,10.146472946063877,2.0,9.345185900745436,0.12025341823712495,7.078341579557671,1.630238141959664,8.412054873292933
113397425,high,job_hunting,1,均衡全能型博主,11.315705475634307,2.3,10.487648206956367,0.582898883759559,8.265907334155747,1.161184255529752,8.974744612722734
1141452114,high,study,0,均衡全能型博主,10.348205424565993,1.1,10.16197894248198,0.14887611969686093,7.22867868521372,2.2794352327989813,9.210440366976517
117444355,low,make_up,3,均衡全能型博主,11.45318607621936,1.4,11.775871098871294,0.44369214841541804,8.919386285653983,1.2739024552979408,9.798182590890704
119383142,high,study,2,均衡全能型博主,9.358846580275406,3.4,11.354953827907813,0.3703748598371848,9.112639336352487,0.3240350067823238,8.036249942132116
152386536,high,study,0,均衡全能型博主,11.407576060361786,1.8,9.070790907026097,0.23458886414373178,6.911249168236393,2.971473499979363,9.680406499268875
186169177XHS,low,budy_building,1,均衡全能型博主,11.499850357082506,3.2,10.721084386282662,0.19448025966067445,8.503094267036737,1.0425487752059202,8.825412915085566
262812264,low,make_up,1,均衡全能型博主,11.252871529635922,2.2,11.841755718737566,0.27602450333141265,8.830864596329269,0.8413087298675997,8.922791623969637
2653955016,low,make_up,2,均衡全能型博主,10.442929787247998,3.0,8.523075854574392,0.31113507752412095,6.908155199003464,0.7917004186885119,6.90875477931522
275433795,high,job_hunting,1,均衡全能型博主,11.367911253546788,1.9,10.35854567704478,0.7249497029919889,8.140811044199737,1.7784129121887384,9.61587214452889
277338406,high,job_hunting,1,均衡全能型博主,11.420821140914589,2.7,10.294941629629912,0.5820711300571596,7.782682202914985,2.929098653628871,10.463131911491967
3480333079,high,study,1,均衡全能型博主,11.314486721293981,1.7,10.517532000174484,0.6583273218555973,8.236738273388914,1.4025866308828308,9.15915233520675
420496627,low,budy_building,3,均衡全能型博主,10.83370091325064,1.5,13.049267815667111,0.2349250376370502,10.764396644114125,0.16144408105509386,8.853808274977197
465319795,low,make_up,3,均衡全能型博主,11.43281025466844,1.2,11.19651327349077,1.4837974871620723,9.006815607531125,0.7152075709153606,8.824824939175638
638217797,low,make_up,2,均衡全能型博主,9.503084610020228,0.7,11.91067689904246,0.626936124356619,9.439060346103165,0.09977779422735307,7.0909098220799835
800353102,low,make_up,3,均衡全能型博主,11.159117834926688,1.4,11.532762405403195,0.6309809767845596,9.041708679908236,0.9208675502440211,9.392745258631441
8218938202,high,job_hunting,1,均衡全能型博主,11.042937835596494,2.8,10.098186360814324,0.7036117475126739,7.9671068536969445,1.8593503007606085,9.392745258631441
9092323647,high,job_hunting,2,均衡全能型博主,10.611547975828369,1.4,9.361317449823169,0.6166691607874014,7.793834195448053,0.40256955336610795,6.90875477931522
945924693,low,budy_building,2,均衡全能型博主,11.358619773129229,1.8,10.472600952172625,0.32559484027367036,8.203659835374022,0.27494304955896653,6.8885724595653635
982387524,high,study,1,均衡全能型博主,11.503894811084523,2.1,10.504851077788258,0.48747914363889855,8.295922884483709,1.8253828912848349,9.798182590890704
983975704,high,job_hunting,1,均衡全能型博主,11.044536531401494,3.0,11.336541446059025,0.21734784626039477,8.891263947024077,1.3011089278980204,9.61587214452889
990226zr,low,budy_building,1,均衡全能型博主,11.06665398721974,1.6,10.754578211162029,0.33168594204633284,8.237823144832223,1.4081589566858297,9.210440366976517
AP_nora,low,make_up,1,均衡全能型博主,11.473155000731508,1.8,9.309289377761077,0.15961011555722593,8.157972151782142,1.044633201291706,8.699681400989514
Evenbetter001,high,job_hunting,1,均衡全能型博主,10.78727575364831,3.8,10.91237387395527,0.5767077690498096,8.69495436545386,0.5029860121568749,8.006700845440367
FitMoMo,low,budy_building,0,均衡全能型博主,12.346534343019606,1.2,9.421160298401553,0.7929498364069725,7.222127966686963,2.998311501484105,9.798182590890704
GDDXCCB778,low,budy_building,2,均衡全能型博主,10.84546552414626,1.8,10.69030037957826,0.11185746088196724,9.101139156932419,0.0,6.068425588244111
GraceKwan73,low,budy_building,1,均衡全能型博主,11.37940550085183,3.6,10.142461144982235,0.32895275092841175,7.874320786729915,1.4670425944670322,8.987321812850125
LXSJ_33,low,budy_building,0,均衡全能型博主,11.227919807721856,1.6,8.405635736554045,0.19360506750125278,6.271555378863942,3.4814242612980717,9.210440366976517
Light_yxtkb,low,make_up,0,均衡全能型博主,10.098272780745283,1.0,8.23360937629061,0.8802876606576481,7.322378324875067,1.2345539284785056,8.006700845440367
YIX39868390,low,budy_building,2,均衡全能型博主,11.153403615295403,1.2,10.849032185805356,0.7390471168621084,8.628287238921825,0.4754895104952464,7.937731775260109
butter3o3,high,study,1,均衡全能型博主,11.079076314320059,1.4,10.054748346376712,0.851357999238472,8.081134846223243,1.7820343835052979,9.392745258631441
jgai001,high,job_hunting,3,均衡全能型博主,11.500863005142227,1.6,12.875940707795833,0.8264062960691984,10.5814703325763,0.4479616166469373,9.90353755128617
liudianyi,high,study,0,均衡全能型博主,11.265758139843117,2.2,9.607800189746206,0.06729831090396629,7.320328398549679,2.128069627239049,9.210440366976517
lofisuchat,high,study,0,均衡全能型博主,9.862717639992917,2.0,9.942256240464475,0.4123421899005376,7.764380928534557,2.0887899550308666,9.210440366976517
wsxmm1217,low,budy_building,1,均衡全能型博主,10.949068194652432,3.2,10.321618772371153,0.13397921295732834,8.088162585285364,1.3141918140640623,8.824824939175638
xxxxlxxxx,high,job_hunting,0,均衡全能型博主,11.426288563310505,2.4,9.46877384406884,0.11852102108140934,7.171733624734682,3.1368534838796736,9.90353755128617
y02287777,low,make_up,0,均衡全能型博主,10.281958234245314,0.9,7.65879393795786,0.50026978125553,5.889708638153595,2.6625878267928944,8.294299608857235
zoeygou0317,high,job_hunting,1,均衡全能型博主,10.971657815702502,4.1,10.754368984254684,0.626274691678111,8.527875927262704,0.8636491647647648,8.77971129020447
zz0412,low,make_up,1,均衡全能型博主,10.925956465688445,1.7,10.401720216779571,0.5281552468173242,8.409786138584625,1.159932226343495,8.922791623969637
